kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
combo,2048,2048,3,256,256,256,2,20,9.5018,7.946,1102027440,249097362,67192326,60.9716
combo,2048,2048,3,512,512,256,2,20,13.6051,5.549,1032516638,242406116,48201706,46.6837
combo,2048,2048,3,0,0,256,2,20,26.1083,2.892,982922419,238040855,32809196,33.3792
combo,512,512,5,16,16,0,1,20,6.0318,2.173,1396064818,328414257,605011,0.4334
combo,512,512,5,32,32,0,1,20,5.3036,2.471,1224579483,305765042,9889039,8.0755
combo,512,512,5,64,64,0,1,20,5.8543,2.239,1142414992,295584575,11852165,10.3747
combo,512,512,5,128,128,0,1,20,5.4633,2.399,1102038688,290735160,18766829,17.0292
combo,512,512,5,256,256,0,1,20,5.2545,2.494,1082061311,288375765,18019431,16.6529
combo,512,512,5,512,512,0,1,20,5.0813,2.580,1072060904,287199246,16936017,15.7976
combo,512,512,5,0,0,0,1,20,5.0269,2.607,1072104070,287213546,16956887,15.8165
combo,512,512,5,16,16,0,2,20,5.1311,2.554,1305788055,328380805,591276,0.4528
combo,512,512,5,32,32,0,2,20,4.9839,2.630,1134337241,305732039,9855930,8.6887
combo,512,512,5,64,64,0,2,20,4.9506,2.648,1052195107,295559742,11036131,10.4887
combo,512,512,5,128,128,0,2,20,5.2755,2.485,1011896118,290725374,18304678,18.0895
combo,512,512,5,256,256,0,2,20,5.2806,2.482,991936120,288372645,18002220,18.1486
combo,512,512,5,512,512,0,2,20,4.9508,2.647,981931346,287194407,16975321,17.2877
combo,512,512,5,0,0,0,2,20,5.0506,2.595,982198897,287264897,16956367,17.2637
combo,512,512,5,16,16,128,1,20,2.8513,4.597,716239443,116287587,644572,0.8999
combo,512,512,5,32,32,128,1,20,1.8907,6.932,526680843,93625306,9966223,18.9227
combo,512,512,5,64,64,128,1,20,1.7823,7.354,435392012,83416833,10742718,24.6737
combo,512,512,5,128,128,128,1,20,1.7308,7.573,390570799,78580238,18451455,47.2423
combo,512,512,5,256,256,128,1,20,1.6318,8.032,368409661,76240804,17464845,47.4060
