kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
tile,512,512,5,512,512,0,0,20,2.2729,5.767,,,,
naive,1024,1024,5,0,0,0,0,20,11.8978,4.407,,,,
reorder,1024,1024,5,0,0,0,0,20,8.5476,6.134,,,,
unroll,1024,1024,5,0,0,0,0,20,8.1734,6.415,,,,
simd,1024,1024,5,0,0,0,0,20,5.3525,9.795,,,,
simd128,1024,1024,5,0,0,0,0,20,4.3924,11.936,,,,
simd256,1024,1024,5,0,0,0,0,20,5.3576,9.786,,,,
optimized,1024,1024,5,0,0,0,0,20,1.8682,28.064,,,,
combo,1024,1024,5,16,16,0,1,20,15.9330,3.291,,,,
combo,1024,1024,5,32,32,0,1,20,17.9113,2.927,,,,
combo,1024,1024,5,64,64,0,1,20,13.4737,3.891,,,,
combo,1024,1024,5,128,128,0,1,20,10.8922,4.813,,,,
combo,1024,1024,5,256,256,0,1,20,9.6779,5.417,,,,
combo,1024,1024,5,512,512,0,1,20,9.0557,5.790,,,,
combo,1024,1024,5,0,0,0,1,20,8.5698,6.118,,,,
combo,1024,1024,5,16,16,0,2,20,12.5853,4.166,,,,
combo,1024,1024,5,32,32,0,2,20,13.0706,4.011,,,,
combo,1024,1024,5,64,64,0,2,20,11.0100,4.762,,,,
combo,1024,1024,5,128,128,0,2,20,10.5333,4.977,,,,
combo,1024,1024,5,256,256,0,2,20,9.4464,5.550,,,,
combo,1024,1024,5,512,512,0,2,20,8.5332,6.144,,,,
combo,1024,1024,5,0,0,0,2,20,7.6628,6.842,,,,
combo,1024,1024,5,16,16,128,1,20,6.1721,8.494,,,,
combo,1024,1024,5,32,32,128,1,20,5.7900,9.055,,,,
combo,1024,1024,5,64,64,128,1,20,4.0023,13.100,,,,
combo,1024,1024,5,128,128,128,1,20,3.6542,14.348,,,,
combo,1024,1024,5,256,256,128,1,20,4.8358,10.842,,,,
combo,1024,1024,5,512,512,128,1,20,6.0496,8.666,,,,
combo,1024,1024,5,0,0,128,1,20,4.5036,11.641,,,,
combo,1024,1024,5,16,16,128,2,20,6.4114,8.177,,,,
combo,1024,1024,5,32,32,128,2,20,5.9431,8.822,,,,
combo,1024,1024,5,64,64,128,2,20,3.0903,16.966,,,,
combo,1024,1024,5,128,128,128,2,20,2.9279,17.907,,,,
combo,1024,1024,5,256,256,128,2,20,4.9108,10.676,,,,
combo,1024,1024,5,512,512,128,2,20,5.7678,9.090,,,,
combo,1024,1024,5,0,0,128,2,20,4.5097,11.626,,,,
combo,1024,1024,5,16,16,256,1,20,5.6264,9.318,,,,
combo,1024,1024,5,32,32,256,1,20,5.5700,9.413,,,,
combo,1024,1024,5,64,64,256,1,20,3.8423,13.645,,,,
combo,1024,1024,5,128,128,256,1,20,2.3570,22.244,,,,
combo,1024,1024,5,256,256,256,1,20,4.3016,12.188,,,,
combo,1024,1024,5,512,512,256,1,20,5.6547,9.272,,,,
combo,1024,1024,5,0,0,256,1,20,4.4999,11.651,,,,
combo,1024,1024,5,16,16,256,2,20,5.8907,8.900,,,,
combo,1024,1024,5,32,32,256,2,20,5.3583,9.785,,,,
combo,1024,1024,5,64,64,256,2,20,3.8639,13.569,,,,
combo,1024,1024,5,128,128,256,2,20,2.0269,25.866,,,,
combo,1024,1024,5,256,256,256,2,20,4.2456,12.349,,,,
combo,1024,1024,5,512,512,256,2,20,5.5177,9.502,,,,
combo,1024,1024,5,0,0,256,2,20,4.4537,11.772,,,,
tile,1024,1024,5,16,16,0,0,20,8.0259,6.532,,,,
tile,1024,1024,5,32,32,0,0,20,7.5758,6.921,,,,
tile,1024,1024,5,64,64,0,0,20,6.7183,7.804,,,,
tile,1024,1024,5,128,128,0,0,20,7.1096,7.374,,,,
tile,1024,1024,5,256,256,0,0,20,7.3298,7.153,,,,
tile,1024,1024,5,512,512,0,0,20,7.3863,7.098,,,,
naive,2048,2048,5,0,0,0,0,20,48.3924,4.334,,,,
reorder,2048,2048,5,0,0,0,0,20,37.9866,5.521,,,,
unroll,2048,2048,5,0,0,0,0,20,34.3383,6.107,,,,
simd,2048,2048,5,0,0,0,0,20,24.2917,8.633,,,,
simd128,2048,2048,5,0,0,0,0,20,29.3090,7.155,,,,
simd256,2048,2048,5,0,0,0,0,20,31.0120,6.762,,,,
optimized,2048,2048,5,0,0,0,0,20,8.9206,23.509,,,,
combo,2048,2048,5,16,16,0,1,20,55.6984,3.765,,,,
combo,2048,2048,5,32,32,0,1,20,63.9085,3.281,,,,
combo,2048,2048,5,64,64,0,1,20,57.6212,3.640,,,,
combo,2048,2048,5,128,128,0,1,20,45.2683,4.633,,,,
combo,2048,2048,5,256,256,0,1,20,44.6628,4.696,,,,
combo,2048,2048,5,512,512,0,1,20,38.3783,5.464,,,,
combo,2048,2048,5,0,0,0,1,20,39.6565,5.288,,,,
combo,2048,2048,5,16,16,0,2,20,54.2434,3.866,,,,
combo,2048,2048,5,32,32,0,2,20,54.1962,3.870,,,,
combo,2048,2048,5,64,64,0,2,20,49.4200,4.244,,,,
combo,2048,2048,5,128,128,0,2,20,42.8267,4.897,,,,
combo,2048,2048,5,256,256,0,2,20,39.3131,5.334,,,,
combo,2048,2048,5,512,512,0,2,20,38.0473,5.512,,,,
combo,2048,2048,5,0,0,0,2,20,37.1579,5.644,,,,
combo,2048,2048,5,16,16,128,1,20,29.7679,7.045,,,,
combo,2048,2048,5,32,32,128,1,20,29.4056,7.132,,,,
combo,2048,2048,5,64,64,128,1,20,17.4591,12.012,,,,
combo,2048,2048,5,128,128,128,1,20,15.5616,13.476,,,,
combo,2048,2048,5,256,256,128,1,20,20.0257,10.472,,,,
combo,2048,2048,5,512,512,128,1,20,27.2724,7.690,,,,
combo,2048,2048,5,0,0,128,1,20,32.0254,6.548,,,,
combo,2048,2048,5,16,16,128,2,20,24.6012,8.525,,,,
combo,2048,2048,5,32,32,128,2,20,26.8657,7.806,,,,
combo,2048,2048,5,64,64,128,2,20,14.4974,14.466,,,,
combo,2048,2048,5,128,128,128,2,20,12.2773,17.082,,,,
combo,2048,2048,5,256,256,128,2,20,20.2782,10.342,,,,
combo,2048,2048,5,512,512,128,2,20,27.9405,7.506,,,,
combo,2048,2048,5,0,0,128,2,20,25.8125,8.125,,,,
combo,2048,2048,5,16,16,256,1,20,26.2068,8.002,,,,
combo,2048,2048,5,32,32,256,1,20,25.2005,8.322,,,,
combo,2048,2048,5,64,64,256,1,20,14.0086,14.970,,,,
combo,2048,2048,5,128,128,256,1,20,9.9522,21.072,,,,
combo,2048,2048,5,256,256,256,1,20,16.2589,12.898,,,,
combo,2048,2048,5,512,512,256,1,20,24.2277,8.656,,,,
combo,2048,2048,5,0,0,256,1,20,26.3244,7.967,,,,
combo,2048,2048,5,16,16,256,2,20,24.3758,8.603,,,,
combo,2048,2048,5,32,32,256,2,20,23.1759,9.049,,,,
combo,2048,2048,5,64,64,256,2,20,16.4975,12.712,,,,
combo,2048,2048,5,128,128,256,2,20,9.3746,22.371,,,,
combo,2048,2048,5,256,256,256,2,20,16.4812,12.725,,,,
combo,2048,2048,5,512,512,256,2,20,23.7594,8.827,,,,
combo,2048,2048,5,0,0,256,2,20,24.2250,8.657,,,,
tile,2048,2048,5,16,16,0,0,20,32.8385,6.386,,,,
tile,2048,2048,5,32,32,0,0,20,31.6327,6.630,,,,
tile,2048,2048,5,64,64,0,0,20,27.9019,7.516,,,,
tile,2048,2048,5,128,128,0,0,20,27.9982,7.490,,,,
tile,2048,2048,5,256,256,0,0,20,31.1475,6.733,,,,
tile,2048,2048,5,512,512,0,0,20,33.5477,6.251,,,,
